ref,station_distance,pub_date,studio,n_rooms,area,floor,mcc,circle,center_distance,y
/moskva/kvartiry/2-k_kvartira_32_m_29_et._1908951942,4,2020-08-04,0,2,32,2,0,0,12.33177916408014,1.4375
/moskva/kvartiry/2-k_kvartira_32_m_412_et._1964507930,11,2020-08-01,0,2,32,4,0,0,9.539817802472047,0.9375
/moskva/kvartiry/2-k_kvartira_32_m_512_et._1069956073,4,2020-08-12,0,2,32,5,0,0,15.037649645206713,1.09375
/moskva/kvartiry/2-k_kvartira_32_m_512_et._1980188194,13,2020-08-12,0,2,32,5,0,0,14.871192477480411,1.0
/moskva/kvartiry/2-k_kvartira_32_m_55_et._1973249215,14,2020-08-09,0,2,32,5,0,0,42.08652548896108,1.09375
/moskva/kvartiry/2-k_kvartira_33.6_m_59_et._1955413922,15,2020-08-08,0,2,34,5,0,0,9.207817966979363,1.3235294117647058
/moskva/kvartiry/2-k_kvartira_33_m_19_et._1911700956,17,2020-08-01,0,2,33,1,0,0,38.05223639778658,0.7878787878787878
/moskva/kvartiry/2-k_kvartira_33_m_29_et._1952242801,7,2020-08-11,0,2,33,2,0,0,4.655436104927691,1.2121212121212122
/moskva/kvartiry/2-k_kvartira_33_m_45_et._1959966299,18,2020-08-07,0,2,33,4,0,0,8.854535352572697,0.8181818181818182
/moskva/kvartiry/2-k_kvartira_34.3_m_59_et._1964393057,11,2020-08-11,0,2,34,5,0,0,11.267289786799822,0.8823529411764706
/moskva/kvartiry/2-k_kvartira_34_m_1012_et._1974579931,21,2020-08-13,0,2,34,10,0,0,14.293167708857114,1.0294117647058822
/moskva/kvartiry/2-k_kvartira_34_m_1112_et._887359685,14,2020-08-06,0,2,34,11,0,0,7.490292618174948,0.8823529411764706
/moskva/kvartiry/2-k_kvartira_34_m_49_et._1978991096,19,2020-08-11,0,2,34,4,0,0,7.387032237319362,1.3088235294117647
/moskva/kvartiry/2-k_kvartira_34_m_513_et._1954575997,4,2020-08-02,0,2,34,5,0,0,5.84175515670864,1.1764705882352942
/moskva/kvartiry/2-k_kvartira_34_m_816_et._1968667873,10,2020-08-05,0,2,34,8,0,0,12.647554108980627,2.0588235294117645
/moskva/kvartiry/2-k_kvartira_35_m_1116_et._1959815559,17,2020-08-13,0,2,35,11,0,0,9.880492727191683,0.7142857142857143
/moskva/kvartiry/2-k_kvartira_35_m_15_et._1983049996,15,2020-08-05,0,2,35,1,0,0,14.058448527939985,1.2
/moskva/kvartiry/2-k_kvartira_35_m_1616_et._1975001049,23,2020-08-11,0,2,35,16,0,0,16.5081390984448,0.7142857142857143
